name,team,number,position,age,height,weight,college,salary
mike scott,Atlanta Hawks,32.0,PF,27,6-8,237.0,Virginia,3333333.0
thabo sefolosha,Atlanta Hawks,25.0,SF,32,6-7,220.0,,4000000.0
tiago splitter,Atlanta Hawks,11.0,C,31,6-11,245.0,,9756250.0
walter tavares,Atlanta Hawks,22.0,C,24,7-3,260.0,,1000000.0
jeff teague,Atlanta Hawks,0.0,PG,27,6-2,186.0,Wake Forest,8000000.0
nicolas batum,Charlotte Hornets,5.0,SG,27,6-8,200.0,,13125306.0
troy daniels,Charlotte Hornets,30.0,SG,24,6-4,205.0,Virginia Commonwealth,947276.0
jorge gutierrez,Charlotte Hornets,12.0,PG,27,6-3,189.0,California,189455.0
tyler hansbrough,Charlotte Hornets,50.0,PF,30,6-9,250.0,North Carolina,947276.0
aaron harrison,Charlotte Hornets,9.0,SG,21,6-6,210.0,Kentucky,525093.0
spencer hawes,Charlotte Hornets,0.0,PF,28,7-1,245.0,Washington,6110034.0
al jefferson,Charlotte Hornets,25.0,C,31,6-10,289.0,,13500000.0
frank kaminsky iii,Charlotte Hornets,44.0,C,23,7-0,240.0,Wisconsin,2612520.0
michael kidd-gilchrist,Charlotte Hornets,14.0,SF,22,6-7,232.0,Kentucky,6331404.0
jeremy lamb,Charlotte Hornets,3.0,SG,24,6-5,185.0,Connecticut,3034356.0
courtney lee,Charlotte Hornets,1.0,SG,30,6-5,200.0,Western Kentucky,5675000.0
jeremy lin,Charlotte Hornets,7.0,PG,27,6-3,200.0,Harvard,2139000.0
kemba walker,Charlotte Hornets,15.0,PG,26,6-1,184.0,Connecticut,12000000.0
marvin williams,Charlotte Hornets,2.0,PF,29,6-9,237.0,North Carolina,7000000.0
cody zeller,Charlotte Hornets,40.0,C,23,7-0,240.0,Indiana,4204200.0
chris bosh,Miami Heat,1.0,PF,32,6-11,235.0,Georgia Tech,22192730.0
luol deng,Miami Heat,9.0,SF,31,6-9,220.0,Duke,10151612.0
goran dragic,Miami Heat,7.0,PG,30,6-3,190.0,,14783000.0
gerald green,Miami Heat,14.0,SF,30,6-7,205.0,,947276.0
udonis haslem,Miami Heat,40.0,PF,36,6-8,235.0,Florida,2854940.0
joe johnson,Miami Heat,2.0,SF,34,6-7,240.0,Arkansas,261894.0
tyler johnson,Miami Heat,8.0,SG,24,6-4,186.0,Fresno State,845059.0
josh mcroberts,Miami Heat,4.0,PF,29,6-10,240.0,Duke,5543725.0
josh richardson,Miami Heat,0.0,SG,22,6-6,200.0,Tennessee,525093.0
amar'e stoudemire,Miami Heat,5.0,PF,33,6-10,245.0,,947276.0
dwyane wade,Miami Heat,3.0,SG,34,6-4,220.0,Marquette,20000000.0
briante weber,Miami Heat,12.0,PG,23,6-2,165.0,Virginia Commonwealth,
hassan whiteside,Miami Heat,21.0,C,26,7-0,265.0,Marshall,981348.0
justise winslow,Miami Heat,20.0,SF,20,6-7,225.0,Duke,2481720.0
dorell wright,Miami Heat,11.0,SF,30,6-9,205.0,,
dewayne dedmon,Orlando Magic,3.0,C,26,7-0,245.0,USC,947276.0
evan fournier,Orlando Magic,10.0,SG,23,6-7,205.0,,2288205.0
aaron gordon,Orlando Magic,0.0,PF,20,6-9,220.0,Arizona,4171680.0
mario hezonja,Orlando Magic,23.0,SG,21,6-8,218.0,,3741480.0
ersan ilyasova,Orlando Magic,7.0,PF,29,6-10,235.0,,7900000.0
brandon jennings,Orlando Magic,55.0,PG,26,6-1,169.0,,8344497.0
devyn marble,Orlando Magic,11.0,SF,23,6-6,200.0,Iowa,845059.0
shabazz napier,Orlando Magic,13.0,PG,24,6-1,175.0,Connecticut,1294440.0
andrew nicholson,Orlando Magic,44.0,PF,26,6-9,250.0,St. Bonaventure,2380593.0
victor oladipo,Orlando Magic,5.0,SG,24,6-4,210.0,Indiana,5192520.0
elfrid payton,Orlando Magic,4.0,PG,22,6-4,185.0,Louisiana-Lafayette,2505720.0
jason smith,Orlando Magic,14.0,PF,30,7-0,240.0,Colorado State,4300000.0
nikola vucevic,Orlando Magic,9.0,C,25,7-0,260.0,USC,11250000.0
c.j. watson,Orlando Magic,32.0,PG,32,6-2,175.0,Tennessee,5000000.0
alan anderson,Washington Wizards,6.0,SG,33,6-6,220.0,Michigan State,4000000.0
bradley beal,Washington Wizards,3.0,SG,22,6-5,207.0,Florida,5694674.0
jared dudley,Washington Wizards,1.0,SF,30,6-7,225.0,Boston College,4375000.0
jarell eddie,Washington Wizards,8.0,SG,24,6-7,218.0,Virginia Tech,561716.0
drew gooden,Washington Wizards,90.0,PF,34,6-10,250.0,Kansas,3300000.0
marcin gortat,Washington Wizards,13.0,C,32,6-11,240.0,,11217391.0
jj hickson,Washington Wizards,21.0,C,27,6-9,242.0,North Carolina State,273038.0
nene hilario,Washington Wizards,42.0,C,33,6-11,250.0,,13000000.0
markieff morris,Washington Wizards,5.0,PF,26,6-10,245.0,Kansas,8000000.0
kelly oubre jr.,Washington Wizards,12.0,SF,20,6-7,205.0,Kansas,1920240.0
otto porter jr.,Washington Wizards,22.0,SF,23,6-8,198.0,Georgetown,4662960.0
ramon sessions,Washington Wizards,7.0,PG,30,6-3,190.0,Nevada,2170465.0
garrett temple,Washington Wizards,17.0,SG,30,6-6,195.0,LSU,1100602.0
marcus thornton,Washington Wizards,15.0,SF,29,6-4,205.0,LSU,200600.0
john wall,Washington Wizards,2.0,PG,25,6-4,195.0,Kentucky,15851950.0
darrell arthur,Denver Nuggets,0.0,PF,28,6-9,235.0,Kansas,2814000.0
d.j. augustin,Denver Nuggets,12.0,PG,28,6-0,183.0,Texas,3000000.0
will barton,Denver Nuggets,5.0,SF,25,6-6,175.0,Memphis,3533333.0
wilson chandler,Denver Nuggets,21.0,SF,29,6-8,225.0,DePaul,10449438.0
kenneth faried,Denver Nuggets,35.0,PF,26,6-8,228.0,Morehead State,11235955.0
danilo gallinari,Denver Nuggets,8.0,SF,27,6-10,225.0,,14000000.0
gary harris,Denver Nuggets,14.0,SG,21,6-4,210.0,Michigan State,1584480.0
nikola jokic,Denver Nuggets,15.0,C,21,6-10,250.0,,1300000.0
joffrey lauvergne,Denver Nuggets,77.0,C,24,6-11,220.0,,1709719.0
mike miller,Denver Nuggets,3.0,SG,36,6-8,218.0,Florida,947276.0
emmanuel mudiay,Denver Nuggets,0.0,PG,20,6-5,200.0,,3102240.0
jameer nelson,Denver Nuggets,1.0,PG,34,6-0,190.0,Saint Joseph's,4345000.0
jusuf nurkic,Denver Nuggets,23.0,C,21,7-0,280.0,,1842000.0
jakarr sampson,Denver Nuggets,9.0,SG,23,6-9,214.0,St. John's,258489.0
axel toupane,Denver Nuggets,6.0,SG,23,6-7,210.0,,
nemanja bjelica,Minnesota Timberwolves,88.0,PF,28,6-10,240.0,,3950001.0
gorgui dieng,Minnesota Timberwolves,5.0,C,26,6-11,241.0,Louisville,1474440.0
kevin garnett,Minnesota Timberwolves,21.0,PF,40,6-11,240.0,,8500000.0
tyus jones,Minnesota Timberwolves,1.0,PG,20,6-2,195.0,Duke,1282080.0
zach lavine,Minnesota Timberwolves,8.0,PG,21,6-5,189.0,UCLA,2148360.0
shabazz muhammad,Minnesota Timberwolves,15.0,SF,23,6-6,223.0,UCLA,2056920.0
adreian payne,Minnesota Timberwolves,33.0,PF,25,6-10,237.0,Michigan State,1938840.0
nikola pekovic,Minnesota Timberwolves,14.0,C,30,6-11,307.0,,12100000.0
tayshaun prince,Minnesota Timberwolves,12.0,SF,36,6-9,212.0,Kentucky,947276.0
ricky rubio,Minnesota Timberwolves,9.0,PG,25,6-4,194.0,,12700000.0
damjan rudez,Minnesota Timberwolves,10.0,SF,29,6-9,230.0,,1149500.0
greg smith,Minnesota Timberwolves,4.0,PF,25,6-10,250.0,Fresno State,
karl-anthony towns,Minnesota Timberwolves,32.0,C,20,7-0,244.0,Kentucky,5703600.0
andrew wiggins,Minnesota Timberwolves,22.0,SG,21,6-8,199.0,Kansas,5758680.0
steven adams,Oklahoma City Thunder,12.0,C,22,7-0,255.0,Pittsburgh,2279040.0
nick collison,Oklahoma City Thunder,4.0,PF,35,6-10,255.0,Kansas,3750000.0
kevin durant,Oklahoma City Thunder,35.0,SF,27,6-9,240.0,Texas,20158622.0
randy foye,Oklahoma City Thunder,6.0,SG,32,6-4,213.0,Villanova,3135000.0
josh huestis,Oklahoma City Thunder,34.0,SF,24,6-7,230.0,Stanford,1140240.0
serge ibaka,Oklahoma City Thunder,9.0,PF,26,6-10,245.0,,12250000.0
enes kanter,Oklahoma City Thunder,11.0,C,24,6-11,245.0,Kentucky,16407500.0
mitch mcgary,Oklahoma City Thunder,33.0,PF,24,6-10,255.0,Michigan,1463040.0
nazr mohammed,Oklahoma City Thunder,13.0,C,38,6-10,250.0,Kentucky,222888.0
anthony morrow,Oklahoma City Thunder,2.0,SG,30,6-5,210.0,Georgia Tech,3344000.0
cameron payne,Oklahoma City Thunder,22.0,PG,21,6-3,185.0,Murray State,2021520.0
andre roberson,Oklahoma City Thunder,21.0,SG,24,6-7,210.0,Colorado,1210800.0
kyle singler,Oklahoma City Thunder,5.0,SF,28,6-8,228.0,Duke,4500000.0
dion waiters,Oklahoma City Thunder,3.0,SG,24,6-4,220.0,Syracuse,5138430.0
russell westbrook,Oklahoma City Thunder,0.0,PG,27,6-3,200.0,UCLA,16744218.0
cliff alexander,Portland Trail Blazers,34.0,PF,20,6-8,240.0,Kansas,525093.0
al-farouq aminu,Portland Trail Blazers,8.0,SF,25,6-9,215.0,Wake Forest,8042895.0
pat connaughton,Portland Trail Blazers,5.0,SG,23,6-5,206.0,Notre Dame,625093.0
allen crabbe,Portland Trail Blazers,23.0,SG,24,6-6,210.0,California,947276.0
ed davis,Portland Trail Blazers,17.0,C,27,6-10,240.0,North Carolina,6980802.0
maurice harkless,Portland Trail Blazers,4.0,SF,23,6-9,215.0,St. John's,2894059.0
gerald henderson,Portland Trail Blazers,9.0,SG,28,6-5,215.0,Duke,6000000.0
chris kaman,Portland Trail Blazers,35.0,C,34,7-0,265.0,Central Michigan,5016000.0
meyers leonard,Portland Trail Blazers,11.0,PF,24,7-1,245.0,Illinois,3075880.0
damian lillard,Portland Trail Blazers,0.0,PG,25,6-3,195.0,Weber State,4236287.0
c.j. mccollum,Portland Trail Blazers,3.0,SG,24,6-4,200.0,Lehigh,2525160.0
luis montero,Portland Trail Blazers,44.0,SG,23,6-7,185.0,Westchester CC,525093.0
mason plumlee,Portland Trail Blazers,24.0,C,26,6-11,235.0,Duke,1415520.0
brian roberts,Portland Trail Blazers,2.0,PG,30,6-1,173.0,Dayton,2854940.0
noah vonleh,Portland Trail Blazers,21.0,PF,20,6-9,240.0,Indiana,2637720.0
trevor booker,Utah Jazz,33.0,PF,28,6-8,228.0,Clemson,4775000.0
trey burke,Utah Jazz,3.0,PG,23,6-1,191.0,Michigan,2658240.0
alec burks,Utah Jazz,10.0,SG,24,6-6,214.0,Colorado,9463484.0
dante exum,Utah Jazz,11.0,PG,20,6-6,190.0,,3777720.0
derrick favors,Utah Jazz,15.0,PF,24,6-10,265.0,Georgia Tech,12000000.0
rudy gobert,Utah Jazz,27.0,C,23,7-1,245.0,,1175880.0
gordon hayward,Utah Jazz,20.0,SF,26,6-8,226.0,Butler,15409570.0
rodney hood,Utah Jazz,5.0,SG,23,6-8,206.0,Duke,1348440.0
joe ingles,Utah Jazz,2.0,SF,28,6-8,226.0,,2050000.0
chris johnson,Utah Jazz,23.0,SF,26,6-6,206.0,Dayton,981348.0
trey lyles,Utah Jazz,41.0,PF,20,6-10,234.0,Kentucky,2239800.0
shelvin mack,Utah Jazz,8.0,PG,26,6-3,203.0,Butler,2433333.0
raul neto,Utah Jazz,25.0,PG,24,6-1,179.0,,900000.0
tibor pleiss,Utah Jazz,21.0,C,26,7-3,256.0,,2900000.0
jeff withey,Utah Jazz,24.0,C,26,7-0,231.0,Kansas,947276.0
